City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,kununurra,-15.7667,128.7333,18.99,82,39,0.0,AU,1722879445
235,touros,-5.1989,-35.4608,26.94,65,35,7.99,BR,1722879446
236,chonchi,-42.6128,-73.8092,7.84,97,100,2.21,CL,1722879261
237,bay roberts,47.5999,-53.2648,23.14,91,100,4.02,CA,1722879448
238,lehigh acres,26.6254,-81.6248,31.02,68,100,9.25,US,1722879449
239,cill airne,52.05,-9.5167,16.43,70,87,4.14,IE,1722879450
240,amga,60.8953,131.9608,10.72,96,100,4.5,RU,1722879452
241,caleta de carquin,-11.0925,-77.6267,16.71,84,37,6.64,PE,1722879453
242,puerto armuelles,8.2833,-82.8667,28.99,78,21,1.34,PA,1722879354
243,jiayuguan,39.8167,98.3,26.96,27,100,5.76,CN,1722879455
244,haiku-pauwela,20.9219,-156.3051,24.59,79,85,2.68,US,1722879252
245,williams lake,52.1415,-122.1445,17.81,62,75,3.6,CA,1722879457
246,feijo,-8.1642,-70.3536,28.17,62,96,0.65,BR,1722879459
247,filingue,14.3521,3.3168,33.17,46,61,4.01,NE,1722879460
248,saint-paul,-21.0096,55.2707,21.05,76,7,1.11,RE,1722879461
249,valle de la pascua,9.2155,-66.0073,27.65,86,75,2.69,VE,1722879462
250,panaba,21.2833,-88.2667,34.31,51,34,1.45,MX,1722879463
251,lorengau,-2.0226,147.2712,26.54,85,98,3.96,PG,1722879464
252,taksimo,56.3444,114.8794,15.95,78,86,2.35,RU,1722879466
253,daru,-9.0763,143.2092,24.16,89,98,6.53,PG,1722879467
254,newman,37.3138,-121.0208,29.19,19,0,1.54,US,1722879468
255,alofi,-19.0595,-169.9187,20.94,100,75,1.54,NU,1722879262
256,cam ranh,11.9214,109.1591,26.98,78,20,2.06,VN,1722879350
257,severo-yeniseyskiy,60.3725,93.0408,15.18,77,92,1.17,RU,1722879443
258,san luis de la loma,17.2706,-100.8939,30.4,65,97,3.56,MX,1722879474
259,zapolyarnyy,69.4154,30.8136,13.6,72,7,1.83,RU,1722879476
260,rongelap,11.1635,166.8941,28.53,79,100,7.04,MH,1722879478
261,murudeshwara,14.0943,74.4845,29.44,58,77,0.77,IN,1722879479
262,parabel',58.6978,81.4825,15.65,95,27,2.61,RU,1722879480
263,santiago de cuba,20.0247,-75.8219,32.06,66,40,3.09,CU,1722879481
264,bamyan,34.75,67.25,13.62,33,0,2.91,AF,1722879482
265,codrington,-38.2667,141.9667,5.42,96,24,4.47,AU,1722879424
266,port shepstone,-30.7414,30.455,12.91,83,8,0.88,ZA,1722879484
267,bonthe,7.5264,-12.505,26.11,81,84,4.63,SL,1722879486
268,oranjemund,-28.55,16.4333,12.52,77,0,10.48,NA,1722879487
269,kone,-21.0595,164.8658,14.48,79,5,1.63,NC,1722879429
270,iowa park,33.9515,-98.6687,34.97,35,20,4.12,US,1722879433
271,darlington,54.5243,-1.5504,24.51,65,40,5.66,GB,1722879259
272,ko pha ngan,9.7578,100.0291,25.9,75,81,5.57,TH,1722879493
273,lewiston orchards,46.3804,-116.9754,22.95,73,40,3.09,US,1722879494
274,awjilah,29.1081,21.2869,35.83,16,0,4.29,LY,1722879495
275,santiago de cao,-7.9589,-79.2392,19.07,77,75,1.54,PE,1722879496
276,avarua,-21.2078,-159.775,24.03,78,40,4.12,CK,1722879267
277,taybad,34.74,60.7756,32.54,16,0,7.98,IR,1722879499
278,isangel,-19.55,169.2667,20.24,64,30,5.14,VU,1722879252
279,tingo maria,-9.2895,-76.0088,27.17,65,20,2.06,PE,1722879501
280,enchanted hills,35.3368,-106.593,31.51,38,0,1.34,US,1722879502
281,sao vicente,-23.9631,-46.3919,34.04,54,23,2.06,BR,1722879503
282,al fulah,11.7329,28.3579,29.82,51,96,5.28,SD,1722879504
283,utrik,11.2278,169.8474,28.4,80,97,7.07,MH,1722879506
284,kristiansund,63.1115,7.732,20.03,89,20,2.57,NO,1722879507
285,batang,-6.4846,110.7083,25.2,72,9,2.68,ID,1722879508
286,hardoi,27.4167,80.1167,30.93,63,62,2.96,IN,1722879509
287,siwa oasis,29.2041,25.5195,35.98,18,3,3.54,EG,1722879510
288,nurmahal,31.0964,75.5967,29.81,70,98,4.4,IN,1722879511
289,baykal'sk,51.5058,104.1469,15.45,79,79,4.36,RU,1722879513
290,arawa,-6.2132,155.5367,26.17,81,84,2.68,PG,1722879514
291,mariehamn,60.0973,19.9348,19.92,73,0,2.57,AX,1722879515
292,susuman,62.7833,148.1667,10.64,52,100,2.8,RU,1722879516
293,kinablangan,7.6947,126.5503,23.8,86,87,1.96,PH,1722879517
294,don luan,11.5333,106.9167,24.97,95,84,1.37,VN,1722879519
295,sudak,44.85,34.9667,22.31,63,48,0.85,UA,1722879520
296,ban mai,7.2041,100.5451,25.05,81,88,2.5,TH,1722879522
297,manokwari,-0.8667,134.0833,26.11,79,69,3.41,ID,1722879523
298,salahonda,2.1019,-78.7217,25.43,85,100,6.06,CO,1722879525
299,necochea,-38.5473,-58.7368,15.25,45,96,5.08,AR,1722879526
300,hastings,50.8552,0.5729,23.22,73,0,3.89,GB,1722879527
301,la sarre,48.8002,-79.1996,17.84,53,36,2.84,CA,1722879020
302,trairi,-3.2778,-39.2689,28.36,58,47,7.25,BR,1722879506
303,cole harbour,44.6724,-63.4751,27.66,77,88,2.24,CA,1722879531
304,rosarito,32.3333,-117.0333,31.48,69,95,3.14,MX,1722879532
305,tindouf,27.6711,-8.1474,46.25,5,5,4.12,DZ,1722879534
306,taos,36.4072,-105.5731,30.11,36,0,2.06,US,1722879274
307,arteche,12.2645,125.4048,24.69,96,93,2.63,PH,1722879536
308,sabha,27.0377,14.4283,36.95,11,0,5.47,LY,1722879538
309,flying fish cove,-10.4217,105.6791,23.82,88,100,5.14,CX,1722879419
310,la'ie,21.6477,-157.9253,26.92,81,97,2.24,US,1722879540
311,zaozersk,69.4005,32.4476,8.96,91,10,3.06,RU,1722879273
312,mirpur sakro,24.5474,67.6277,28.86,79,100,5.65,PK,1722879542
313,mezhova,48.2532,36.7347,22.31,47,94,4.96,UA,1722879544
314,guarapari,-20.6667,-40.4975,26.05,72,5,7.06,BR,1722879545
315,galveston,29.3669,-94.9669,35.61,64,0,2.88,US,1722879413
316,island harbour,50.724,-1.2758,22.32,69,5,2.24,GB,1722879547
317,yuzhno-kurilsk,44.0306,145.8556,16.27,99,100,1.95,RU,1722879297
318,ambon,-3.6954,128.1814,26.6,95,40,1.03,ID,1722879550
319,mount darwin,-16.7725,31.5838,17.47,25,1,0.18,ZW,1722879551
320,dwarka,22.2394,68.9678,27.99,86,100,7.86,IN,1722879552
321,lhasa,29.65,91.1,12.77,82,93,3.24,CN,1722879553
322,funafuti,-8.5243,179.1942,26.0,94,75,2.57,TV,1722879555
323,melfort,52.8667,-104.6177,20.07,52,83,4.12,CA,1722879556
324,ixtapa,20.7,-105.2,32.35,70,40,1.34,MX,1722879558
325,puerto baquerizo moreno,-0.9,-89.6,22.55,88,100,2.57,EC,1722879426
326,carnarvon,-24.8667,113.6333,17.3,59,0,2.57,AU,1722879560
